القرية:,Y,X,   تقنيات الزراعة التجديدية:,  أنواع محسنات التربة:, الاسمدة الكيميائية:,مكافحة الآفات:, المبيدات الكيميائية:
الباروك,33.695838,35.670304, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية | روث حيواني | كمبوست عضوي | ,اعتماد جزئي,مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية |  مكافحة فيزيائية مصائد أبواب مزدوجة | مبيدات محلية الصنع | مكافحة كيميائية مبيدات,اعتماد جزئي
البيرة,33.72188,35.646694, باستخدام مواد عضوية,أسمدة كيميائية |  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
الجاهلية,33.664744,35.510862, باستخدام مواد عضوية | دمج المخصبات الحيوية,أسمدة كيميائية,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
الدامور,33.7827596,35.4787639, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية  | روث حيواني |  كمبوست عضوي |مخصبات حيوية | ,اعتماد جزئي,مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية | مكافحة فيزيائية مصائد أبواب مزدوجة... | مكافحة كيميائية مبيدات,اعتماد جزئي
الدبية,33.666052,35.482801,مكافحة حيوية للآفات التسميد العضوي,مخصبات حيوية,اعتماد جزئي,مكافحة كيميائية مبيدات| مكافحة فيزيائية مصائد أبواب مزدوجة...,اعتماد جزئي
الدبيه,33.677016,35.429031, باستخدام مواد عضوية التسميد العضوي,أسمدة كيميائية |  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات| مبيدات محلية الصنع,اعتماد كلي
السعديات,33.687186,35.425372, باستخدام مواد عضوية,أسمدة كيميائية  | روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات | مكافحة فيزيائية مصائد أبواب مزدوجة...,اعتماد كلي
السمقانية,33.676788,35.589248, باستخدام مواد عضوية التسميد العضوي,روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد كلي
الكحلونية,33.718891,35.668402, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية| روث حيواني | كمبوست عضوي | مخصبات حيوية |     ,اعتماد جزئي,مبيدات محلية الصنع | مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية | مكافحة كيميائية مبيدات | مبيدات حيوية مبيدات محلية الصنع,اعتماد جزئي
المختارة,33.654373,35.612749,التسميد العضوي,أسمدة كيميائية  كمبوست عضوي,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
المشرف,33.71328,35.45055,تقليل أو عدم الحراثة  باستخدام مواد عضوية التسميد العضوي | دمج بقايا المحاصيل/الأعشاب,روث حيواني | كمبوست عضوي  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
المطلة,33.605432,35.540722,,,لا يتم استخدامها,مبيدات محلية الصنع,لا يتم استخدامها
المغيزيه,33.601294,35.462913, باستخدام مواد عضوية مكافحة حيوية للآفات التسميد العضوي,أسمدة كيميائية   روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات مبيدات محلية الصنع,اعتماد جزئي
الورهانية,33.728073,35.680277, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية |  روث حيواني | مخصبات حيوية,اعتماد جزئي,مبيدات محلية الصنع | مكافحة كيميائية مبيدات | مكافحة فيزيائية مصائد أبواب مزدوجة...,اعتماد جزئي
باتر,33.595011,35.614259, باستخدام مواد عضوية محاصيل غطائية التسميد العضوي تدوير المحاصيل | تقليل أو عدم الحراثة | تقليل أو عدم الحراثة دمج المخصبات الحيوية,أسمدة كيميائية |  روث حيواني | روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات | مكافحة بيولوجية أعداء طبيعيون| مبيدات حيوية,اعتماد جزئي
بتلون,33.693903,35.655584, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,| أسمدة كيميائية|  كمبوست عضوي | روث حيواني ,اعتماد جزئي,مبيدات محلية الصنع | مكافحة بيولوجية أعداء طبيعيون |مبيدات حيوية | مكافحة فيزيائية مصائد أبواب مزدوجة... | مكافحة كيميائية مبيدات | ,اعتماد جزئي
برجا,33.641065,35.424124,التغطية العضوية |  باستخدام مواد عضوية التسميد العضوي | تقليل أو عدم الحراثة  باستخدام مواد عضوية,أسمدة كيميائية |  روث حيواني  | كمبوست عضوي |  ,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
بريح,33.707677,35.653917, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,كمبوست عضوي| مخصبات حيوية| الكبريت العنصري,اعتماد جزئي,مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية مكافحة فيزيائية مصائد أبواب مزدوجة...,اعتماد جزئي
بريح الشوف,33.716078,35.659813, باستخدام مواد عضوية إعادة تدوير نفايات الطعام/الكمبوست التسميد العضوي,كمبوست عضوي|  روث حيواني,اعتماد جزئي,مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية مكافحة فيزيائية مصائد أبواب مزدوجة...,اعتماد جزئي
بشتفين,33.708825,35.557639, باستخدام مواد عضوية التسميد العضوي | تقليل أو عدم الحراثة,أسمدة كيميائية | روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
بطمة,33.655394,35.623642,التسميد العضوي تدوير المحاصيل |  باستخدام مواد عضوية التسميد العضوي,كمبوست عضوي | كمبوست عضوي | روث حيواني |,اعتماد جزئي,مبيدات محلية الصنع | مكافحة كيميائية مبيدات,اعتماد جزئي
بطمه,33.662688,35.639126,التسميد العضوي |  باستخدام مواد عضوية التسميد العضوي,روث حيواني | كمبوست عضوي | روث حيواني,لا يتم استخدامها,مكافحة كيميائية مبيدات,اعتماد جزئي
بعذران,33.630581,35.619518,,أسمدة كيميائية|  كمبوست عضوي|  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد كلي
بعقلين,33.67203,35.56628,التسميد العضوي |  باستخدام مواد عضوية |  باستخدام مواد عضوية التغطية العضوية التسميد العضوي تدوير المحاصيل,أسمدة كيميائية|   روث حيواني| كمبوست عضوي | ,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
بكيفا,33.583396,35.493755, باستخدام مواد عضوية,كمبوست عضوي,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
جديدة الشوف,33.656347,35.604515,دمج المخصبات الحيوية,روث حيواني,لا يتم استخدامها,مكافحة كيميائية مبيدات,اعتماد جزئي
حارة جندل الشوف,33.609427,35.609278, باستخدام مواد عضوية التسميد العضوي,أسمدة كيميائية|   روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد كلي
خربة بسري,33.576496,35.510269, باستخدام مواد عضوية التسميد العضوي,كمبوست عضوي|  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,لا يتم استخدامها
خريبة الشوف,33.637458,35.642387, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية|   روث حيواني | كمبوست عضوي |,اعتماد جزئي,مكافحة كيميائية مبيدات| مبيدات محلية الصنع |  مكافحة بيولوجية أعداء طبيعيون| مبيدات حيوية,اعتماد جزئي
داريا الشوف,33.643133,35.502321, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية | روث حيواني | كمبوست عضوي|,اعتماد جزئي,مبيدات محلية الصنع | مكافحة كيميائية مبيدات,اعتماد جزئي
دميت الشوف,33.689205,35.505803, باستخدام مواد عضوية,أسمدة كيميائية|  كمبوست عضوي|  روث حيواني  |,اعتماد جزئي,مكافحة فيزيائية مصائد أبواب مزدوجة... | مكافحة كيميائية مبيدات,اعتماد جزئي
دير القمر,33.693074,35.556728,تقليل أو عدم الحراثة  باستخدام مواد عضوية دمج بقايا المحاصيل/الأعشاب | تقليل أو عدم الحراثة مكافحة حيوية للآفات,أسمدة كيميائية | روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات | مبيدات محلية الصنع,اعتماد جزئي
دير دوريت,33.683105,35.542311, باستخدام مواد عضوية | تقليل أو عدم الحراثة  باستخدام مواد عضوية دمج المخصبات الحيوية مكافحة حيوية للآفات التسميد العضوي,أسمدة كيميائية |   كمبوست عضوي|  روث حيواني,اعتماد جزئي,مبيدات محلية الصنع | مكافحة كيميائية مبيدات,اعتماد جزئي
ديربابا,33.694595,35.525734,تقليل أو عدم الحراثة | تقليل أو عدم الحراثة التسميد العضوي,أسمدة كيميائية|   روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
شارون,33.797697,35.703264,,أسمدة كيميائية,اعتماد جزئي,مبيدات محلية الصنع,اعتماد جزئي
شحيم,33.618669,35.488343, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,روث حيواني | فضلات الاكل والقشور | ,لا يتم استخدامها,مبيدات محلية الصنع | مكافحة كيميائية مبيدات,اعتماد جزئي
شواليق دير القمر,33.693597,35.562627,,أسمدة كيميائية,,مكافحة كيميائية مبيدات,اعتماد كلي
عانوت,33.622739,35.512598, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية |  روث حيواني |  مخصبات حيوية  ,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
عترين,33.662292,35.568355, باستخدام مواد عضوية إعادة تدوير نفايات الطعام/الكمبوست التسميد العضوي,كمبوست عضوي|  روث حيواني,لا يتم استخدامها,مكافحة بيولوجية أعداء طبيعيون| مبيدات حيوية,لا يتم استخدامها
علمان,33.589719,35.407042, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية |   روث حيواني |  كمبوست عضوي  | مخصبات حيوية,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
عماطور,33.639731,35.607415, باستخدام مواد عضوية التسميد العضوي |  باستخدام مواد عضوية دمج بقايا المحاصيل/الأعشاب التسميد العضوي,أسمدة كيميائية |  كمبوست عضوي|  روث حيواني | مخصبات حيوية  ,اعتماد جزئي,مكافحة كيميائية مبيدات | مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية,اعتماد جزئي
عين زحلتا,33.741301,35.693978,إعادة تدوير نفايات الطعام/الكمبوست دمج بقايا المحاصيل/الأعشاب | محاصيل غطائية تدوير المحاصيل,أسمدة كيميائية  قليل جدا | روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
عين قاني,33.64424,35.61163,التسميد العضوي,روث حيواني,اعتماد جزئي,مبيدات محلية الصنع,اعتماد جزئي
عين وزين,33.670896,35.6172, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,كمبوست عضوي |   روث حيواني | مخصبات حيوية,اعتماد جزئي,مبيدات محلية الصنع | مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية | مكافحة كيميائية مبيدات,اعتماد جزئي
غريفة,33.635037,35.562358," باستخدام مواد عضوية |  باستخدام مواد عضويةبعد حراثة الأرض عدة مرات بإستخدام الأبغال, يستخدم روثهم (زبلهم) لتسميد الأرض",روث حيواني ,لا يتم استخدامها,مكافحة فيزيائية مصائد أبواب مزدوجة... | مكافحة كيميائية مبيدات,اعتماد جزئي
كترمايا الشوف,33.617061,35.454315,تقليل أو عدم الحراثة التسميد العضوي,روث حيواني,اعتماد جزئي,مبيدات محلية الصنع,اعتماد جزئي
كحلونية الشوف,33.644029,35.588746,تقليل أو عدم الحراثة  باستخدام مواد عضوية التغطية العضوية,مخصبات حيوية|  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية مبيدات محلية الصنع,اعتماد جزئي
كحلونيه الشوف,33.644724,35.588947, باستخدام مواد عضوية إعادة تدوير نفايات الطعام/الكمبوست,سماد حيواني طبيعي,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
كفرحيم,33.688383,35.50962, |  باستخدام مواد عضوية التسميد العضوي تسميد ارض من سواد ماعز | دمج المخصبات الحيوية سواد ماعز,روث حيواني سواد ماعز | كمبوست عضوي,اعتماد جزئي,مبيدات محلية الصنع | مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية,لا يتم استخدامها
كفرفاقود,33.694374,35.537408, باستخدام مواد عضوية إعادة تدوير نفايات الطعام/الكمبوست دمج بقايا المحاصيل/الأعشاب التسميد العضوي | تقليل أو عدم الحراثة التسميد العضوي,كمبوست عضوي |  روث حيواني | كمبوست عضوي |مخصبات حيوية,اعتماد جزئي,مبيدات محلية الصنع | مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية | مكافحة فيزيائية مصائد أبواب مزدوجة...,اعتماد جزئي
كفرنبرخ,33.691903,35.63186, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية |  روث حيواني |  كمبوست عضوي |   مخصبات حيوية | روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات | مكافحة كيميائية مبيدات مبيدات محلية الصنع,اعتماد جزئي
مجدل المعوش,33.716625,35.622299, باستخدام مواد عضوية التسميد العضوي |  باستخدام مواد عضوية دمج بقايا المحاصيل/الأعشاب التسميد العضوي,أسمدة كيميائية  كمبوست عضوي  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات | مكافحة كيميائية مبيدات مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية,اعتماد جزئي
مرستى,33.629608,35.662419, باستخدام مواد عضوية إعادة تدوير نفايات الطعام/الكمبوست التغطية العضوية التسميد العضوي,كمبوست عضوي  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
مرستي,33.627146,35.649698, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية |   روث حيواني |    كمبوست عضوي |  مخصبات حيوية  | غسل تعقيم بالجنزارة ,اعتماد جزئي,مبيدات محلية الصنع | مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية | مكافحة فيزيائية مصائد أبواب مزدوجة... | مكافحة كيميائية مبيدات |,اعتماد جزئي
مزبود,33.603431,35.485018, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية |  روث حيواني |,اعتماد جزئي,مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية مبيدات محلية الصنع | مكافحة كيميائية مبيدات,اعتماد جزئي
مزرعة الشوف,33.628981,35.592496, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية|   روث حيواني| تدوير بقايا الطعام | سماد الدجاج | كمبوست عضوي     ,اعتماد جزئي,مبيدات محلية الصنع | مكافحة فيزيائية مصائد أبواب مزدوجة... | مكافحة كيميائية مبيدات,اعتماد جزئي
مزرعةالشوف,33.629449,35.587016, باستخدام مواد عضوية التسميد العضوي,كمبوست عضوي|  روث حيواني,لا يتم استخدامها,مكافحة كيميائية مبيدات مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية,اعتماد جزئي
مزرعه الشوف,33.625626,35.587199,التسميد العضوي,أسمدة كيميائية | روث حيواني,اعتماد جزئي,مبيدات محلية الصنع | مكافحة كيميائية مبيدات,اعتماد جزئي
مزمورة,33.589858,35.50846,تقليل أو عدم الحراثة  باستخدام مواد عضوية التسميد العضوي,أسمدة كيميائية|  كمبوست عضوي|  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات مبيدات محلية الصنع,اعتماد كلي
معاصر الشوف,33.682638,35.667699, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية  | روث حيواني  | كمبوست عضوي| مخصبات حيوية|   ,اعتماد جزئي,مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية مكافحة فيزيائية مصائد أبواب مزدوجة... | ,اعتماد جزئي
نيحا الشوف,33.601531,35.621215, باستخدام مواد عضوية |  باستخدام مواد عضوية دمج المخصبات الحيوية التسميد العضوي | تقليل أو عدم الحراثة التسميد العضوي,روث حيواني | كمبوست عضوي| ,اعتماد جزئي,مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية | مكافحة كيميائية مبيدات,اعتماد جزئي
ورهانية,33.73178,35.673121, باستخدام مواد عضوية إعادة تدوير نفايات الطعام/الكمبوست محاصيل غطائية التسميد العضوي تدوير المحاصيل,أسمدة كيميائية |  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد كلي
ديردوريت,33.679451,35.531821,التسميد العضوي,أسمدة كيميائية,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد كلي
