القرية:,Y,X,المحصول:,اشهر الزراعة:,ريّ المحصول:,مصدر مياه الريّ الرئيسي:,توفر المياه:, أشهر شح المياه:
الباروك,33.709308,35.670304,"التفاح , البندورة من شهر والبندورة بندورة خيار خضار و فاكهة دراق ملفوف",آب  ايلول تموز حزيران,كل يومين  مرة أسبوعياً ١٥ يوم مرتين,بئر جوفي قنوات ري  نقل المياه بالصهاريج نهرمجرى مائي,أحياناً كافية,آب ايلول   تموز
البيره,33.73535,35.646694,,,كل يومين,قنوات ري,أحياناً كافية,
الجاهليه,33.678214,35.510862,,أيار تموز,مرة أسبوعياً  مرتين,قنوات ري,نادراً ما تكون,تموز حزيران و آب
الدامور,33.7962296,35.4787639,,تشرين الثاني شباط  حزيران من الاول لغاية اذار نيسان,كل يومين  مرة أسبوعياً ١٥ يوم مرتين,بئر جوفي  قنوات ري نهرمجرى مائي,أحياناً كافية,آب و ايلول تموز وآب حزيران
الدبيه,33.679522,35.482801,,,غير مروي  مرتين أسبوعياً,نقل المياه بالصهاريج,نادراً ما تكون,أشهر الصيف
السعديات,33.700656,35.425372,,,مرتين أسبوعياً,بئر جوفي,أحياناً كافية,آبتداء من شهر ايلول لغاية تشرين الثاني
السمقانيه,33.690258,35.589248,,نيسان أيار,مرة أسبوعياً,قنوات ري,أحياناً كافية,ايلول
الكحلونيه,33.732361,35.668402,الخضار  الزيتون رمان زيتون تين مقتي نصوب,تشرين الثاني  نيسان,كل يومين  مرة أسبوعياً شهر ١٥ يوم مرتين,فقط مياه الأمطار   تجميع نقل المياه بالصهاريج,أحياناً كافية,أشهر الصيف
المشرف,33.72675,35.45055,الموز والأفوكادو  موز أفوكادو,تشرين الأول نيسان  حزيران,مرة كل ١٥ يوم,نهرمجرى مائي,أحياناً كافية, شهري تموز وآب
المطله,33.618902,35.540722,,ايلول,مرتين أسبوعياً,فقط مياه الأمطار,أحياناً كافية,ايلول
المغيزيه,33.614764,35.462913,,كانون الأول آذار,مرة أسبوعياً,اشتراك بمياه الدوله,أحياناً كافية,شهري آب ايلول
الورهانيه,33.741543,35.680277,التفاح والدراق,ايلول,غير مروي  مرة كل ١٥ يوم,بئر جوفي  فقط مياه الأمطار نقل المياه بالصهاريج قنوات ري,أحياناً كافية,آب ايلول تموز
باتر,33.608481,35.614259,الرمان زيتون  فاصوليا عريضة القرعة,ايلول كانون الثاني  حزيران نيسان,غير مروي  مرة أسبوعياً,نهرمجرى مائي,أحياناً كافية,آب ايلول تموز
بتلون,33.707373,35.655584,التفاح الكرز  بندورة تفاح حشايش جوز زيتون دراق تين,ايلول تموز آب حزيران,مرة أسبوعياً  مرتين,قنوات ري  نقل المياه بالصهاريج نهرمجرى مائي أخرى  من نبع الباروق بئر جوفي,أحياناً كافية,أشهر الصيف
برجا,33.654535,35.424124,,شباط تموز ايلول,غير مروي  مرة أسبوعياً مرتين,بئر جوفي  نقل المياه بالصهاريج,دائماً,أشهر الصيف
بريح,33.721147,35.653917,بندورة أشجار التفاح,أيار حزيران ايلول شباط,مرة كل ١٥ يوم  مرتين أسبوعياً,قنوات ري,أحياناً كافية,آب ايلول
بشتفين,33.722295,35.557639,,,غير مروي  مرة أسبوعياً,بئر جوفي نقل المياه بالصهاريج,أحياناً كافية,تموز
بطمه,33.668864,35.623642,الزيتون  خيار بندورة,نيسان تشرين الثاني,غير مروي  كل يومين مرتين أسبوعياً  مرتين أسبوعياً,قنوات ري  نقل المياه بالصهاريج  نقل المياه بالصهاريج,أحياناً كافية,أشهر الصيف
بعذران,33.644051,35.619518,اشجار متمرة,,غير مروي,فقط مياه الأمطار,غير كافية تماماً,أشهر الصيف
بعقلين,33.6855,35.56628,خيار بندورة  زيتون خضار كوسا,,غير مروي  كل يومين مرة شهر مرتين أسبوعياً,بئر جوفي  مياه الشرب مخزنة دولة من البلدية,أحياناً كافية,أشهر الصيف
بكيفا,33.596866,35.493755,,,مرة كل ١٥ يوم,بئر جوفي,أحياناً كافية,أشهر الصيف
جديده الشوف,33.669817,35.604515,,,كل يومين,قنوات ري,نادراً ما تكون,أشهر الصيف
حاره جندل الشوف,33.622897,35.609278,,,مرة كل ١٥ يوم,نهرمجرى مائي,دائماً,أشهر الصيف
خربه بسري,33.589966,35.510269,,,غير مروي,فقط مياه الأمطار بئر جوفي,أحياناً كافية,آب ايلول
خريبه الشوف,33.650928,35.642387,خضروات,,غير مروي  مرة أسبوعياً,بئر جوفي  يوجد نبع خاص  نهرمجرى مائي أخرى مياةالبرك (بلدية),أحياناً كافية,أشهر الصيف
داريا الشوف,33.656603,35.502321,زيتون بتدورة الخيار,,غير مروي  كل يومين مرتين أسبوعياً,مياه الأمطار ومياه اشترك الدولة  الدوله نقل المياه بالصهاريج,أحياناً كافية,ايار حزيران تموز آب ايلول
دميت الشوف,33.702675,35.505803,فاصوليا بندوره,,مرة أسبوعياً  مرتين,قنوات ري  نبع خاص  مياه من الارض نقل المياه بالصهاريج,أحياناً كافية,تموز آب ايلول
دير القمر,33.706544,35.556728,فاصوليا بندوره,أيار آب  حزيران تشرين الثاني,مرة كل ١٥ يوم  مرتين أسبوعياً يومياً,مياه الشرب  نقل المياه بالصهاريج,أحياناً كافية,آب و أيلول تموز وآب
دير دوريت,33.696575,35.542311,الزيتون الافوكادو,حزيران,غير مروي  كل يومين مرة شهر ١٥ يوم,قنوات ري  نهرمجرى مائي  نقل مياه بالصهاريج,نادراً ما تكون,آب ايلول ايلول و تموز تموز شهر 
ديربآبا,33.708065,35.525734,,حزيران,مرة أسبوعياً  مرتين,بئر جوفي  قنوات ري,أحياناً كافية,آب ايلول وتشرين اول
شارون,33.811167,35.703264,الخضار,,كل يومين,بئر جوفي,دائماً,
شحيم,33.632139,35.488343,,,غير مروي  مرة أسبوعياً مرتين,فقط مياه الأمطار  نهرمجرى مائي نقل المياه بالصهاريج,نادراً ما تكون,أشهر الصيف
شواليق دير القمر,33.707067,35.562627,,تموز,مرة أسبوعياً,قنوات ري,أحياناً كافية,تموز آب ايلول
عانوت,33.636209,35.512598,فول حمص بندورة خيار كوسا لقطين,نيسان,غير مروي  كل يومين مرة أسبوعياً,فقط مياه الأمطار نقل المياه بالصهاريج,نادراً ما تكون,أشهر الصيف
عترين,33.675762,35.568355,,,مرة أسبوعياً,نقل المياه بالصهاريج,نادراً ما تكون,تموز آب
علمان,33.603189,35.407042,قشطة افوكا ليمون,آذار  تشرين الأول الثاني نيسان شباط كانون,مرة أسبوعياً  كل ١٥ يوم مرتين,بئر جوفي  نقل المياه بالصهاريج ماء خاص للضيعة مدفوع على الساعة قنوات ري,أحياناً كافية,أشهر الصيف
عماطور,33.653201,35.607415,افوكادو,أيار ايلول  تموز,كل يومين  مرة أسبوعياً مرتين,قنوات ري  نقل المياه بالصهاريج نهرمجرى مائي,أحياناً كافية,آب ايلول تموز 
عين زحلتا,33.754771,35.693978,تفاح بقوليات,ايلول,كل يومين  مرة ١٥ يوم,نبعة مياه  نهرمجرى مائي,أحياناً كافية,ايلول تشرين تموز آب
عين قاني,33.65771,35.61163,,,كل يومين,نهرمجرى مائي,أحياناً كافية,آب
عين وزين,33.684366,35.6172,بندوره بقدونس زيتون,ايلول حزيران  شباط,غير مروي  كل يومين مرة أسبوعياً,فقط مياه الأمطار قنوات ري  نقل المياه بالصهاريج نهرمجرى مائي,أحياناً كافية,أشهر الصيف
غريفه,33.648507,35.562358,زيتون,,غير مروي,فقط مياه الأمطار  نقل المياه بالصهاريج أخرى,دائماً,أشهر الصيف
كترمايا الشوف,33.630531,35.454315,,,مرتين أسبوعياً,نقل المياه بالصهاريج,غير كافية تماماً,اغلب الأشهر
كحلونيه الشوف,33.657499,35.588746,الزيتون الخضروات  بندورة خيار,كانون الأول,كل يومين  مرة كل ١٥ يوم,نقل المياه بالصهاريج,أحياناً كافية,تموز آب شهر 
كفرحيم,33.701853,35.50962,خيار وكوسي,,مرتين أسبوعياً  يومياً,بئر جوفي  فقط مياه الأمطار نبعة,أحياناً كافية,
كفرفاقود,33.707844,35.537408,,,مرة أسبوعياً,نهرمجرى مائي,نادراً ما تكون,
كفرفاقود الشوف,33.713,35.535801,الجنارك والليمون  فاصوليا,,مرة أسبوعياً  مرتين,خزان ماء  من مياه الامطار  قنوات ري,أحياناً كافية,آب ايلول تموز_آب_ايلول
كفرنبرخ,33.705373,35.63186,التفاح والبندورة  زيتون صنوبر افوكا حمضيات,تموز  حزيران نيسان,كل يومين  مرة أسبوعياً شهر ١٥ يوم مرتين,فقط مياه الأمطار نهرمجرى مائي  قنوات ري نقل المياه بالصهاريج,أحياناً كافية,تموز ايلول وآب حزيران  تموز آب أيلول شهر تشرين اول وثاني
مجدل المعوش,33.730095,35.622299,,حزيران آب تموز,كل يومين  مرتين أسبوعياً,قنوات ري  نهرمجرى مائي,أحياناً كافية,ايلول حزيران تموز آب
مرستي,33.643078,35.662419,الاشجار المثمرة والمزروعات البندورة اللوبية  الخيار البصل الزعتر التفاح عسل الكرز تفاح نجاص   الخيار الفليفلة,آذار نيسان آب أيار ايلول تموز حزيران تشرين الأول  حزيران,كل يومين  مرة أسبوعياً شهر ١٥ يوم مرتين  مرة كل ١٥ يوم,بئر جوفي  وبحيرة برك تجميع شتوي تونال او حاصي للمياه فقط مياه الأمطار  خزان لتجميع المياه قنوات ري نقل بالصهاريج أخرى صهريج البلدة  فقط مياه الأمطار,أحياناً كافية,آب أيلول ايلول و تشرين اول وتشرين الاول تموز شهر
مزبود,33.616901,35.485018,الحمضيات والافوكادو والزيتون  والخضروات,ايلول,كل يومين  مرة ١٥ يوم يومياً,فقط مياه الأمطار نقل المياه بالصهاريج  الأمطار بشتري مي باشهر الصيفيه  الباروك عبر الشبكة,أحياناً كافية,أشهر الصيف
مزرعه الشوف,33.642451,35.592496,تين زيتون,ايلول,غير مروي  غير مروي  كل يومين  غير مروي  كل يومين مرة أسبوعياً مرتين,بئر جوفي نقل المياه بالصهاريج  خزان عين مياه الشفا  فقط مياه الأمطار  نقل المياه بالصهاريج  فقط مياه الأمطار بئر جوفي,أحياناً كافية,أشهر الصيف
مزموره,33.603328,35.50846,,,يومياً,فقط مياه الأمطار نقل المياه بالصهاريج,غير كافية تماماً,حزيران تموز آب ايلول
معاصر الشوف,33.696108,35.667699,الحمص الصنوبر,شباط آذار,غير مروي  مرة أسبوعياً,فقط مياه الأمطار  نقل المياه بالصهاريج نهرمجرى مائي قنوات ري,نادراً ما تكون,تموز وآب ايلول حزيران آب
نيحا الشوف,33.615001,35.621215,,ايلول  تموز,غير مروي  مرتين أسبوعياً,بركه  فقط مياه الأمطار نبع الضيعة,أحياناً كافية,أشهر الصيف
ورهانيه,33.74525,35.673121,الدراق الىتفاح,حزيران ايلول,مرة أسبوعياً,نهرمجرى مائي,أحياناً كافية,تموز آب
